"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Vairimorpha austropotamobii",2018,"Austropotamobius pallipes",,,,"skeletal muscle tissue of male and female host","horizontal","3.9 ± 0.4 (fresh)",2.2,"9.88345048819349 (fresh)","pyriform","(Lombardy region) Italy",1,,,,86.39379797,2022-11-14,12.5,"MF344630, MF344633",,,"Pretto T, Montesi F, Ghia D, Berton V, Abbadi M, Gastaldelli M, et al. Ultrastructural and molecular characterization of Vairimorpha austropotamobii sp. nov. (Microsporidia: Burenellidae) and Thelohania contejeani (Microsporidia: Thelohaniidae), two parasites of the white-clawed crayfish, Austropotamobius pallipes complex (Decapoda: Astacidae). Journal of Invertebrate Pathology. 2018;151:59–75."
,"Vairimorpha ceraces",2005,"Cerace stipatana",,,,"Midgut epithelium; muscle; fat body; derma cells","horizontal","3.1 ± 0.3","1.6 ± 0.2",4.155279883,"Oval to Pyriform","China","1 (c1, unclear how this matches with spore dimensions given); 2 (c2, unclear how this matches with spore dimensions given)",,,,,"7-9 (c1); 10-12 (c2)","8 (c1, unclear how this matches to spore dimensions); 11 (c2, unclear how this matches to spore dimensions)",,,,"Wan, Yong-Ji, Liu R-H, Shen Z-R. A NEW MICROSPORIDIUM(MICROSPOREDIA,BURENELLIDAE) FROM THE INSECT OF LEPIDOPTERA, CERACE STIPATANA (WALKER)--《Acta Zootaxonomica Sinica》2005年02期. Acta Zootaxonomica Sinica. 30:291–4."
,"Vairimorpha cheracis",2003,"Cherax destructor",,,,"muscle; intestinal; ovarian","both","3.4 um","2.0 um",7.120943348,"pyriform","Australia",1,,,,69.11503838,2022-10-12,11,"AF327408",,,"1. Moodie EG, Le Jambre LF, Katz ME. Ultrastructural characteristics and small subunit ribosomal DNA sequence of Vairimorpha cheracis sp. nov., (Microspora: Burenellidae), a parasite of the Australian yabby, Cherax destructor (Decapoda: Parastacidae). J Invertebr Pathol. Elsevier Science; 2003;84:198–213."
,"Vairimorpha hybomitrae",1984,"Hybomitra sp.",,,"larva","fat body; sarcoplasm of striated muscles; hypodermis","horizontal",4.8,3.3,27.3695552,"elongated ovoid","Kazakhstan",2,,,90,,,,,,,"Bykova, Kh I. “Microsporidian Vairimorpha Hybomitrae (=Nosema Hybomitrae) in Gadflies of the Genus Hybomitra in Karelia.” Parazitologiia 18, no. 3 (January 5, 1984): 247–249."
,"Vairimorpha imperfecta",1999,"Plutella xylostella",,,"larva","systemic infection; fat body (heavily infected); midgut epithelium (havily infected)",,"4.3 ± 0.1 (fresh); 3.5 ± 0.13 (stained)","2 ± 0.1 (fresh); 2.1 ± 0.06 (stained)","9.00589894029074 (fresh)","ovoid","Malaysia",1,,,,,"15.5 (max)",,"AJ131646",,,"Canning EU, Curry A, Cheney S, Lafranchi-Tristem NJ, Haque MA. Vairimorpha imperfecta n.sp., a microsporidian exhibiting an abortive octosporous sporogony in Plutella xylostella L. (Lepidoptera: Yponomeutidae). Parasitology. 1999;119 ( Pt 3):273–86."
,"Vairimorpha invictae",1986,"Solenopsis invicta",,,"larva; adult",,,"11.2(form 1); 6.3(form 2)","3.1(form 1); 4.2(form 2)","56.3559834151961 (form 1); 58.1885791297901 (form 2)","bacillifom (form 1); ovoid (form 2)","Brazil","2 (form 1); 1 (form 2)",,,,"243.473430653209 (form 1); 118.752202305694 (form 2)","24-26 (form 1)","25 (form 1); 9 (form 2)",,,,"Jouvenaz, Donald P., and E. Ann Ellis. “Vairimorpha Invictae N. Sp. (Microspora: Microsporida), a Parasite of the Red Imported Fire Ant, Solenopsis Invicta Buren (Hymenoptera: Formicidae) 1 2.” The Journal of Protozoology 33, no. 4 (November 1986): 457–61. https://doi.org/10.1111/j.1550-7408.1986.tb05641.x."
,"Vairimorpha leptinotarsae","1968; 2020","Leptinotarsa decemlineata",,,,"blood; midgut",,3.53,2.4,12.38834703,"oval","U.S.S.R. (near Nesterov and Obrushion, Lvov region).",,,,,,"14-15",14.5,"MN841279",,,"1. Nosema leptinotarsae Lipa, 1968, J. Invertebr. Pathol., 10, 111, Figs. 1-8.
 2. Vairimorpha leptinotarsae Bekircan, 2020, Parasitology, 9, 147."
,"Vairimorpha necatrix (= Vairimorpha ephestiae)","1962; 1993; 1997; 2018","Pseudaletia unipuncta; Trichoplusia ni; Plodia interpunctella; Agrotis ipsilon; Heliothis zeo; Ephestia kuehniella","Bracon hebetor",,"all stages","fat body (of Heliothis zeo)","horizontal",,,,"oval; elongated",,,,,,,"11 - 20; 14 - 15 coils (apansporoblastic spores); 13 -14 (pansporoblastic spores)","14.5 coils (apansporoblastic spores); 13.5 (pansporoblastic spores)","DQ996241",,,"1. Mitchell MJ, Cali A. Ultrastructural Study of the Development of Vairimorpha necatrix (Kramer, 1965) (Protozoa, Microsporida) in Larvae of the Corn Earworm, Heliothis zea (Boddie) (Lepidoptera, Noctuidae) with Emphasis on Sporogony. J Eukaryot Microbiol. 1993;40:701–10.
 2. Malysh JM, Vorontsova YL, Glupov VV, Tsarev AA, Tokarev YS. Vairimorpha ephestiae is a synonym of Vairimorpha necatrix (Opisthosporidia: Microsporidia) based on multilocus sequence analysis. Eur J Protistol. 2018;66:63–7.
 3. Maowed SM, Marei SS, Saleh MR, Matter MM. Impact of Vairimorpha ephestiae (Microsporidia: Nosematidae) on Bracon hebetor (Hymenoptera: Braconidae), an external parasite of the American bollworm, Heliothis armigera (Lepidoptera: Noctuidae). Eur J Entomol. 1997;94:561–5."
,"Vairimorpha necatrix BM",2014,"Bombyx mori",,,,"midgut; Malpighian tubules; fat body; silk glands; muscles; testis","both","4.7 ± 0.2 (fresh)","2.1 ± 0.2 (fresh)","10.8526318218259 (fresh)","oval","(Shan dong) China",2,,,,"98.9601685880785 (fresh)","13-17",15,,,,"Luo B, Liu H, Pan G, Li T, Li Z, Dang X, et al. Morphological and molecular studies of Vairimorpha necatrix BM, a new strain of the microsporidium V. necatrix (microsporidia, burenellidae) recorded in the silkworm, Bombyx mori. Experimental Parasitology. Elsevier; 2014;143:74–82."
,"Vairimorpha ocinarae",2009,"Ocinara lida",,,,"midgut epithelium; midgut muscle; Malphigian","both","4.17 ± 0.25 um (c1, fresh); 2.62 ± 0.30 um (c2, fresh)","2.34 ± 0.13 um (c1, fresh); 1.39 ± 0.18 um (c2, fresh)","11.9554627901274 (c1, fresh); 2.6505104091537 (c2, fresh)","elongated oval (c1)","Taiwan","2 (c1); 1 (c2)",,,,"88.2159217128014 (c1, fresh); 37.1179172021634 (c2, fresh)","11-13 (c1),
 8-9 (c2)","12 (c1); 8.5 (c2)","EU338534",,,"1. Wang C-Y, Solter LF, Huang W-F, Tsai Y-C, Lo C-F, Wang C-H. A new microsporidian species, Vairimorpha ocinarae n. sp., isolated from Ocinara lida Moore (Lepidoptera: Bombycidae) in Taiwan. J Invertebr Pathol. Elsevier; 2009;100:68–78."
,"Vairimorpha plodiae",2016,"Plodia interpunctella",,,,"salivary glands; midgut; Malpighian tubules; ovary; fat body","both","4.48 ± 0.23 (c1, fresh); 3.48 ± 0.33 (c2, fresh)","2.21 (c1); 2.48 (c2)","11.4567433339504 (c1, fresh); 11.2067898448504 (c2, fresh)","oval","(Trabzon) Turkey","2 (c1); 1 (c2)",,,,,2022-10-12,"11 (unclear what spore class this belongs to)",,,,"Yaman M, Pınar Güngör F, Güner BG, Radek R, Linde A. First report and spore ultrastructure of Vairimorpha plodiae (Opisthokonta: Microspora) from Plodia interpunctella (Lepidoptera: Pyralidae) in Turkey. Acta Parasit. 2016;61:228–31."
,"Vairimorpha sp BM",2012,"Bombyx mori",,,,,,"3.4 (fresh)",1.6,"4.55740374280759 (fresh)","long oval","(Shandong) China",2,,,,70.37167544,"13-15",14,"HQ891818",,,"Liu H, Pan G, Li T, Huang W, Luo B, Zhou Z. Ultrastructure, chromosomal karyotype, and molecular phylogeny of a new isolate of microsporidian Vairimorpha sp. BM (Microsporidia, Nosematidae) from Bombyx mori in China. Parasitol Res. 2012;110:205–10."
,"Vairimorpha sp. (authors proposed Nosema mesnili and Microsporidium mesnili be merged to this one species)",1996,"Pieris rapae",,,"all stages","gut epithelium; Malpighian tubules; salivary glands; fat body","both","3.84 ± 0.03 (free spores, fresh); 3.14 ± 0.06 (octospores, fresh); 7.95 ± 0.12 (macrospores, fresh)","1.82 ± 0.01 (free spores, fresh); 1.86 ± 0.03 (octospores, fresh); 2.14 (macrospores, fresh)","6.65997536368053 (free spores, fresh); 5.68792889754801 (octospores, fresh); 19.0630899742033 (macrospores, fresh)","ovoid (free spores, octospores); elongate fusiform (macrospores)","New Zealand (Auckland)","2 (free spores); 1 (octospores)",,,,"65.7535342396344 (free spores, fresh)","10 - 13 (free spores)","11.5 (free spores)",,,,"Malone LA, McIvor CA. Use of Nucleotide Sequence Data to Identify a Microsporidian Pathogen of Pieris rapae(Lepidoptera, Pieridae). J Invertebr Pathol. 1996;68:231–8."
,"Vairimorpha sp. (NIS M12)",1995,"Bombyx mori","Spodoptera frugiperda",,"adult; larva","fat body (primary infection site); silk glands; muscles","horizontal",,,,"oval","Japan",,,,,,,,,,,"Inoue S, Yasunaga C, Funakoshi M, Kawarabata T, Hayasaka S. Infection and development of vairimorpha sp. NIS M12(microsporida: Protozoa) in a lepidopteran cell line. J Sericult Sci Jpn. 1995;64:39–45."
,"Vairimorpha sp. 1",1999,"Trichogramma chilonis",,,"larva; adult","flight muscles; nervous system; egg","both",,,,,"U.S.A.",,,,,,,,,,,"Schuld M, Madel G, Schmuck R. Impact of Vairimorpha sp. (Microsporidia: Burnellidae) on Trichogramma chilonis (Hymenoptera, Trichogrammatidae), a hymenopteran parasitoid of the cabbage moth, Plutella xylostella (Lepidoptera, Yponomeutidae). J Invertebr Pathol. 1999;74:120–6."
,"Vairimorpha sp. 2",1999,"Plutella xylostella",,,"larva; pupae","systemic infection; fat body (most infected); midgut; salivary glands; Malpighian tubules; egg","both",,,,,"Malaysia (Cameron Highlands)",,,,,,"6 - 9",7.5,,,,"Haque MdA, Canning EU, Wright DJ. Entomopathogenicity of Vairimorpha sp. (Microsporidia) in the diamondback moth, Plutella xylostella (Lepidoptera: Yponomeutidae). B Entomol Res. 1999;89:147–52."
,"Vairimorpha subcoccinellae",2018,"Subcoccinella vigintiquatuorpunctata L.",,,,"midgut; gonad; Malpighian tubules; fat body","both","3.50 ± 0.54 (c1, fresh); 1.74 ± 0.28 (c2, fresh)","1.35 (c1); 1.43 (c2)","3.33990568984765 (c1, fresh); 1.86303041702447 (c2, fresh)","ovocylindrical (1); ovoid (2)","(Ordu) Turkey","2 (c1); 1 (c2)",,,,"59.3761011528471 (c1); 31.4473424624338 (c2)","13-15 (1), 7 (2)","14 (c1); 7 (c2)","MF037236",,,"Baki H, Bekircan Ç. A new microsporidium, Vairimorpha subcoccinellae n. sp. (Microsporidia: Burenellidae), isolated from Subcoccinella vigintiquatuorpunctata L. (Coleoptera: Coccinellidae). Journal of Invertebrate Pathology. 2018;151:182–90."
,"Vavraia anostraca",1992,"Artemia sp.",,,,"muscles; haemocele; intestinal epithelium","horizontal","3.3 (microspores, fixed and stained); 4.1 (macrospores, fixed and stained)","2.1 (microspores, fixed and stained); 2.7 (macrospores, fixed and stained)","7.61993298128204 (microspores, fixed and stained); 15.6498438038576 (macrospores, fixed and stained)","oval","Brazil (Macau, Northeastern Brazil)","1 (microspores, fixed and stained); 1 (macrospores, fixed and stained)",,,,"72.5707902979242 (microspores, fixed and stained); 127.234502470387 (macrospores, fixed and stained)",,"11 (microspores, 8 - 9 wide coils and 3 thin coils); 15 (macrospores, 10 - 12 wide and 5 - 6 narrow coils)",,,,"Asuncion Martinez M, Vivares CP, de Medeiros Rocha R, Fonseca AC, Andral B, Bouix G. Microsporidiosis on Artemia (Crustacea, Anostraca): light and electron microscopy of Vavraia anostraca sp. nov. (Microsporidia, Pleistophoridae) in the Brazilian solar salterns. Aquaculture. 1992;107:229–37."
,"Vavraia culicis","1947; 1991; 1997","Aedes aegypti; Aedes triseriatus; Orthopodomyia signifera; Aedes albopictus",,,"larva","fat body","horizontal","5.4 ± 0.4 (fresh)","3.2 ± 0.1 (fresh)","28.9529178954835 (fresh)","oblong","U.S.A. (Florida)",1,,,,"110.584061406361 (fresh)",,11,"XR_552272","Y",,"1. Fukuda T, Willis OR, Barnard DR. Parasites of the Asian Tiger Mosquito and Other Container-Inhabiting Mosquitoes (Diptera: Culicidae) in Northcentral Florida. J Med Entomol. 1997;34:226–33
 2. Diarra K, Toguebaye BS. On the development cycle and ultrastructure of Vavraia culicis Weiser, 1947 (microsporida, pleistophoridae) with comments on the taxonomy of the genus Vavraia Weiser, 1977. Eur J Protistol. 1991;27:134–40."
,"Vavraia cyclocypris",1984,"Cyclocypris ovum",,,,"Adipose; connective tissue","horizontal","3.4 (fresh)","1.7 (fresh)","5.14488156902888 (fresh)","Oval-elongated","Russia",1,,,,"45.3960138443725 (fresh)","7-10 (2—3 coils of the thick part, one intermediate coil and 4—6 coils of the thin part)",8.5,,,,"Воронин ВH, Мельникова ОЮ, Voronin VN, Melnikova OY. Vavraia cyclocypris sp. n. — первая находка микроспоридий (Microsporida) из остракод (Ostracoda, Crustacea). Parazitologiya. 1984;18:428–84."
,"Vavraia lutzomyiae",2006,"Lutzomyia longipalpis",,,,"midgut; Malphigian","horizontal","6.1 ± 0.43 um (fresh)","3.1 ± 0.15 um (fresh)","30.6938838243479 (fresh)","ellipsoid","Brazil",1,,,,"116.86724671354 (fresh)",2022-11-13,12,,,,"1. Matos E, Mendonca I, Azevedo C. Vavraia lutzomyiae n. sp. (Phylum Microspora) infecting the sandfly Lutzomyia longipalpis (Psychodidae, Phlebotominae), a vector of human visceral leishmaniasis. Eur J Protistol. Elsevier Science; 2006;42:21–8."
,"Vavraia mediterranica",2001,"Crangon crangon",,,,"muscle","horizontal","2.30 ± 0.22 um","1.41 ± 0.21 um",2.394223469,"ellipsoid; 
 slightly pyriform","France",1,,,,28.79269667,2022-06-07,6.5,,,,"1. Azevedo C. Ultrastructural Aspects of a New Species, Vavraia mediterranica (Microsporidia, Pleistophoridae), Parasite of the French Mediterranean Shrimp, Crangon crangon (Crustacea, Decapoda). J Invertebr Pathol. Elsevier; 2001;78:194–200."
,"Vavraia parastacida","1991; 1992","Cherax tenuimanus; Cherax quinquecarinatus; Cherax quadricarinatus; Cherax albidus",,"fresh water",,"locomotor muscle; cardiac muscle; gastrointestinal muscles; gills; hepatopancreas; antennal gland; eye; connective tissue","horizontal","5.49 ± 0.36 (fixed)","2.59 ± 0.17 (fixed)","19.2828176767843 (fixed)","ovoid; slightly conoid anterior","Australia (South-west Western Australia); Australia (South-east Queensland)",,,,,"81.3672497279756 (fixed)","9 - 11",10,,,,"1. Langdon JS. Description of Vavraia parastacida sp. nov. (Microspora: Pleistophoridae) from marron, Cherax tenuimanus (Smith), (Decapoda: Parastacidae). J Fis Dis. 1991;14:619–29.
 2. Langdon JS, Thorne T. Experimental transmission per os of microsporidiosis due to Vavraia parastacida in the marron, Cherax tenuimanus (Smith), and yabby, Cherax albidus Clark. J Fis Dis. 1992;15:315–22."
,"Vavraia sp.",1990,"Culicoides edeni",,,"adult","fat body","horizontal","3.8 ± 0.28 (in thick sections of fixed, resin-embedded material)","2.2 ± 0.16 (in thick sections of fixed, resin-embedded material)","9.63002868080391 (in thick sections of fixed, resin-embedded material)","oval; spherical; uniform in shape and dimension","U.S.A. (Paynes Prairie State Preserve, Alachua County, Florida)",1,,,,"76.026542216873 (in thick sections of fixed, resin-embedded material)",,"11 (5 or 6 anterior coils, 5 or 6 posterior coils)",,,,"Atkinson CT. Fine structure and sporogonic development of a Vavraia sp. (Microsporida: Pleistophoridae) in the biting midge Culicoides edeni (Diptera: Ceratopogonidae). J Invertebr Pathol. 1990;55:105–11."
,"Vittaforma corneae (= Nosema corneum)","1990; 1995","Homo sapiens","athymic mice",,,"eye cornea (of homo sapiens); liver (of athymic mice)","horizontal","3.7 (in culture); 3.8 ± 0.75 (fresh)","1 (in culture); 1.02 ± 0.25 (stained)","1.93731546971371 (in culture)","rod-shaped","Caribbeans (?); Central America (?)",2,,,,"18.8495559215388 (in culture)","5 - 7",6,"XR552278","Y",,"1. Shadduck JA, Meccoli RA, Davis R, Font RL. Isolation of a Microsporidian from a Human Patient. J Infect Dis. 1990;162:773–6.
 2. Silveira H, Canning EU. Vittaforma corneae n. comb. for the human microsporidium Nosema corneum Shadduck, Meccoli, Davis & Font, 1990, based on its ultrastructure in the liver of experimentally infected athymic mice. J Eukaryot Microbiol. 1995;42:158–65."
,"Weiseria laurenti",1964,"Prosimulium inflatum",,,"larva","fat body","horizontal","4(fresh)",,,,"France (Haute-Savoie).",2,47,30,38,,,,,,,"Weiseria laurenti D. & S., 1964, c. R. Acad. Sci., 259, 3614, Figs. 1-5. Doby & Saguez., 1964, Bull. Soc. Zool. Fr., 89, 777, Figs. 1-48, Pl. figs. 1-11."
,"Weiseria sommermanae",1970,"Gymnopais sp.",,,"larva",,,5.4,4.1,47.52915526,,"Alaska","1 (unclear if uninuc/binuc spores are different sizes); 2 (unclear if uninuc/binuc spores are different sizes)",,,,,,,,,,"Weiseria sommermanae Jamnback, 1970, J. Invertebr.Pathol., 16,11, Figs. 8-19."
,"Weiseria sp.",1972,"Ephemepella ignita",,,,,,,,,,,,,,,,,,,,,"Weiseria sp. L. & W., 1972, Folia Parasito1. (Prague), 19, 362, PI. 6."
,"Wittmannia antarctica",1997,"Kantharella antarctica",,,,,"horizontal","5.15 (stained)","2 (stained)","10.786134777325 (stained)","ovoid","Weddell Sea",2,,,,"62.8318530717959 (stained)","9 - 11",10,,,,"Czaker R. Wittmannia antarctica N. G., N. Sp. (Nosematidae), a New Hyperparasite in the Antarctic Dicyemid Mesozoan Kantharella antarctica. J Eukaryot Microbiol. 1997;44:438–46."
,"Zelenkaia trichopterae",2013,"Halesus digitatus",,,,"Adipose","horizontal","10.3 (fresh)",3.5,"66.0650755111154 (fresh)","long oval","Bulgaria",1,,,,274.8893572,"24-26",25,"EF537879",,,"Hyliš M, Oborník M, Nebesářová J, Vávra J. Description and phylogeny of Zelenkaia trichopterae gen. et sp. nov. (Microsporidia), an aquatic microsporidian parasite of caddisflies (Trichoptera) forming spore doublets. Journal of Invertebrate Pathology. 2013;114:11–21."
,"Cucumispora roeselii",2017,"Gammarus roeselii",,"Freshwater",,"muscle","horizontal","2.2 ± 0.1","1.5 ± 0.1",2.591813939,"oval","Poland",2,,,,44.76769531,2022-09-10,9.5,"KY200851",,,"1. Bojko, Jamie, Karolina Bącela-Spychalska, Paul D. Stebbing, Alison M. Dunn, Michał Grabowski, Michał Rachalewski, and Grant D. Stentiford. “Parasites, Pathogens and Commensals in the ‘Low-Impact’ Non-Native Amphipod Host Gammarus Roeselii.” Parasites & Vectors 10, no. 1 (April 20, 2017): 193. https://doi.org/10.1186/s13071-017-2108-6."
,"Oogranate pervascens",2021,"Maculaura alaskensis; Maculaura aquilonia; Maculaura oregonensis; Maculaura cerebrosa",,"Marine","embryo, pilidia","oocytes (M. alaskensis, M. aquilonia); mesenchyme cells (M. alaskensis)",,2.3,1.3,2.035228441,"ellipsoid","Oregon, U.S.A.",2,,,,26.54645792,2022-06-07,6.5,"MT302614; MT302615; MT302616; MT302617",,,"1. Robbins, Kara M., Svetlana A. Maslakova, and George von Dassow. “A New Genus Of Microsporidian Parasite (Hepatosporidae; Micro-Sporidia) Found In The Oocytes Of Ribbon Worms From The North Pacific Genus Maculaura (Heteronemertea; Nemertea).” Preprint. Zoology, April 4, 2021. https://doi.org/10.1101/2021.04.04.438387."
,"Janacekia tainanus",2021,"Kiefferulus tainanus",,"Freshwater",,"adipose","horizontal","6.14 ± 0.27","3.71 ± 0.12",44.25015667,"oval","China",1,,,,174.8296312,"13-17",15,"MT622752; MT622753",,,"1. Weng, M, J Zhang, Aihua Li, H Sato, and Q Zhang. “Morphological and Molecular Characterization of a New Microsporidium, Janacekia Tainanus n. Sp. from the Adipose Tissue of Kiefferulus Tainanus (Diptera: Chironomidae) in China.” Journal of Invertebrate Pathology, March 2021. https://www.sciencedirect.com/science/article/pii/S0022201121000458."
,"Cambaraspora floridanus",2020,"Procambarus paeninsulanus",,,,"muscle","horizontal",6.136,2.12,14.4396177,"cucumiform","USA (Florida, Wacisaa River, Jefferson County)",2,,,,133.2035285,"19-21",20,"MT006315",,,"Cambaraspora floridanus (Bojko et al, 2020), J Inverteb Pathol, 171."
,"Glugea eda",2020,"Caesio striata",,,,"mesenteric tissues","horizontal",5,2.2,12.67109037,"ellispoidal","Saudi Arabia (Red Sea coast off Yanbu' al Bahr)",1,,,,179.6990998,"24-28",26,"MK568064",,,"Glugea eda (Mansour et al, 2020), Acta Tropica, 204."
